location,lat,lon,predicted_yield_tph,predicted_irrigation_need,predicted_irrigation_need_probs,predicted_disease_risk,ndvi,evi,soil_moisture,weather_temp,weather_humidity,pressure,wind_speed,wind_deg
Rajkot,22.3,70.7833,10.382106103709852,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0023213596255774066""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99767864037442255""
  }]
}",0.13520057057671198,0.056878561900995175,0.067312614580400873,0.40076523886786569,26.15,77,1006,4.85,226
Baramulla,34.2087,74.3435,8.3354114861523936,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00104099985324504""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.998959000146755""
  }]
}",0.0633801891189066,0.1770154676607999,0.14131181193537648,0.35145788192749022,21.39,81,1006,2.91,234
Koraput,18.8167,82.7167,10.693355073533619,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00098156793505273145""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99901843206494723""
  }]
}",0.024186706350477039,0.25885167302075235,0.30923119099844187,0.39362132814195422,22.0,90,1006,1.19,281
Sehore,23.2,77.0833,10.548045431675011,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0002825418107576453""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9997174581892424""
  }]
}",0.041623716209643224,0.1493963605487405,0.15741769002135431,0.41566879484388564,23.98,89,1006,3.07,273
Diu,20.7141,70.9822,9.4255571912454865,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0014750621529386024""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99852493784706142""
  }]
}",0.068672225037670523,0.178310223380241,0.18003566458454906,,26.45,84,1007,3.55,246
Krishna,16.4104,77.3325,9.6676848378369513,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00232720896437492""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99767279103562512""
  }]
}",0.096804248701627238,,,,25.77,75,1007,6.06,280
Kohima,25.6667,94.1167,13.429613863038785,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""3.6856822685336874e-05""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99996314317731472""
  }]
}",-0.062393526417264131,0.55863599638397943,0.492448323665077,0.47746570375230579,20.02,98,1007,0.67,235
Junagadh,21.5167,70.4667,9.22482797233365,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0015599887292169876""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.998440011270783""
  }]
}",0.053162347037797424,,,,25.62,84,1007,1.97,216
Raichur,16.2,77.3667,9.5235811008368909,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0023677704318822495""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9976322295681177""
  }]
}",0.0928931185468081,,,,25.26,74,1007,6.09,282
Anantapur,14.6833,77.6,8.7013926390823215,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0036063427687910285""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.996393657231209""
  }]
}",0.11126605482615581,0.099721172843788689,0.11801426413420003,0.2531640158759223,25.09,77,1007,7.92,267
