location,lat,lon,predicted_yield_tph,predicted_irrigation_need,predicted_irrigation_need_probs,predicted_disease_risk,ndvi,evi,soil_moisture,weather_temp,weather_humidity,pressure,wind_speed,wind_deg
Dhamtari,20.7072,81.5497,11.858905342454088,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0026338379588779089""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.997366162041122""
  }]
}",0.11851891320928783,0.33480392208781917,0.35768527547975337,0.33428671095106338,25.2,84,1004,2.55,241
Jabalpur,23.167,79.9501,11.6485316892589,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00014892399493794943""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99985107600506207""
  }]
}",0.063999443181675525,0.23019244211302864,0.23444658102102467,0.42349891662597655,24.46,92,1004,2.01,270
Udhampur,32.9333,75.1333,11.133345963517179,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00026042301243936461""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99973957698756066""
  }]
}",0.10318766488234657,0.32586113576419962,0.29739037688310449,0.34189282523261177,24.86,89,1004,1.59,94
Guntur,16.3,80.45,11.614327670768887,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0038098823338766205""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99619011766612342""
  }]
}",0.19087953822665749,0.16109269907011733,0.17765642753811775,0.3552724414401584,28.79,70,1004,4.39,299
Kota,25.1833,75.8333,11.964191636805268,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0034024426943626875""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99659755730563726""
  }]
}",0.21904463620169062,0.13349358633517344,0.13683170904064373,0.42339524163140191,28.3,66,1004,4.88,246
Anantnag,33.7333,75.15,9.3460006710808319,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0013536179480505587""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99864638205194944""
  }]
}",0.12852859909509759,0.24103828491216603,0.22513273529176622,0.35651792950100369,22.41,79,1004,1.43,115
Raipur,21.2333,81.6333,11.4177281080207,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.010956303579349487""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.98904369642065049""
  }]
}",0.17895176364372362,0.21223590676055479,0.20397650644041446,0.35322712792290584,27.48,75,1004,2.74,261
Ranchi,23.35,85.3333,12.616347001418251,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0053767816280894994""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99462321837191048""
  }]
}",0.13721017086452303,0.39173282957375788,0.38496719788324946,0.38012219534979924,24.66,78,1004,2.16,251
Kangra,32.1,76.2667,11.78063698571783,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00053560311136262968""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99946439688863742""
  }]
}",0.10102717878760945,0.45451608954622752,0.38647543369163817,0.300034311082628,24.47,89,1004,2.18,81
Hazaribagh,23.9833,85.35,12.997798521544212,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0075895035684517423""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99241049643154822""
  }]
}",0.11573366361356696,0.42330978481166404,0.45664833406669891,0.37273891237046985,24.89,79,1004,0.52,313
Baran,25.1,76.5167,11.440189273510647,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0018516983302650954""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99814830166973489""
  }]
}",0.1794635445562478,0.11531802928037797,0.12138223710729795,0.42074171702067059,27.41,74,1004,3.83,236
Tripura,24.0,92.0,8.9881024422900442,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00018816513504965664""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99981183486495029""
  }]
}",0.040499939449009273,,,,24.49,99,1004,1.25,185
Malkangiri,18.35,81.9,12.117361201444936,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00088364164644611051""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99911635835355384""
  }]
}",0.084207207792930075,0.35319376365189958,0.3582512012302046,0.36217847400241426,25.06,91,1004,0.52,206
Gumla,23.05,84.55,12.506223804051627,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00370713883316499""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.996292861166835""
  }]
}",0.12120638775517789,0.37597692009534017,0.38986136205544764,0.3815269152323405,24.37,81,1004,1.97,266
Kargil,34.5667,76.1,3.6763416073884585,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0045454130919604912""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99545458690803956""
  }]
}",0.10873629283116522,0.081243300466877486,0.073922372420616153,0.23054572211371527,16.33,57,1005,4.29,241
Karimnagar,18.4333,79.15,9.4527651326892883,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0022598601729622255""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9977401398270378""
  }]
}",0.08119204595433252,0.14150827078326014,0.14870229742082744,0.30134775373670791,24.93,85,1005,2.98,298
Surendranagar,22.7,71.6833,12.144631833433039,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0050102563176289243""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.994989743682371""
  }]
}",0.20192873750739482,0.185517081318227,0.17074965675443946,0.3973552915785048,27.95,67,1005,5.7,246
Lunglei,22.8833,92.7333,8.1311100388564128,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00011127290486271862""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99988872709513732""
  }]
}",0.0054923935333027335,,,,22.16,98,1005,0.28,86
Nagpur,21.15,79.1,10.215270512053246,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0015973116044291746""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99840268839557078""
  }]
}",0.0914070521176214,0.086363014604628432,0.087061952356063177,0.40410827000935873,25.06,82,1005,2.54,325
Warangal,18.0,79.5833,11.334819445402767,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0010700607388107635""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99892993926118923""
  }]
}",0.068082078981963126,0.29686699442844267,0.30432268262034345,0.32541402180989581,25.24,86,1005,2.5,311
